ano_ref,mes_ref,mes,dia,data,turno,hora,volume
2026,1,janeiro,27,2026-01-27,Tarde,17:00,325
2026,1,janeiro,27,2026-01-27,Noite,18:00,578
2026,1,janeiro,27,2026-01-27,Noite,19:00,250
2026,1,janeiro,27,2026-01-27,Noite,20:00,280
2026,1,janeiro,27,2026-01-27,Noite,22:00,149
2026,1,janeiro,28,2026-01-28,Madrugada,00:00,109
2026,1,janeiro,28,2026-01-28,Madrugada,01:00,149
2026,1,janeiro,28,2026-01-28,Madrugada,02:00,1305
2026,1,janeiro,28,2026-01-28,Madrugada,03:00,711
2026,1,janeiro,28,2026-01-28,Madrugada,04:00,974
2026,1,janeiro,28,2026-01-28,Manhã,10:00,419
2026,1,janeiro,28,2026-01-28,Manhã,11:00,605
2026,1,janeiro,28,2026-01-28,Tarde,12:00,149
2026,1,janeiro,28,2026-01-28,Tarde,13:00,320
2026,1,janeiro,28,2026-01-28,Tarde,14:00,1875
2026,1,janeiro,28,2026-01-28,Tarde,15:00,109
2026,1,janeiro,28,2026-01-28,Tarde,16:00,290
2026,1,janeiro,28,2026-01-28,Tarde,17:00,290
2026,1,janeiro,28,2026-01-28,Noite,18:00,578
2026,1,janeiro,28,2026-01-28,Noite,19:00,141
2026,1,janeiro,28,2026-01-28,Noite,20:00,419
2026,1,janeiro,28,2026-01-28,Noite,22:00,149
2026,1,janeiro,29,2026-01-29,Madrugada,00:00,109
2026,1,janeiro,29,2026-01-29,Madrugada,02:00,1355
2026,1,janeiro,29,2026-01-29,Madrugada,03:00,597
2026,1,janeiro,29,2026-01-29,Madrugada,04:00,865
2026,1,janeiro,29,2026-01-29,Manhã,10:00,390
2026,1,janeiro,29,2026-01-29,Manhã,11:00,605
2026,1,janeiro,29,2026-01-29,Tarde,12:00,149
2026,1,janeiro,29,2026-01-29,Tarde,13:00,288
2026,1,janeiro,29,2026-01-29,Tarde,14:00,1987
2026,1,janeiro,29,2026-01-29,Tarde,15:00,109
2026,1,janeiro,29,2026-01-29,Tarde,16:00,290
2026,1,janeiro,29,2026-01-29,Tarde,17:00,325
2026,1,janeiro,29,2026-01-29,Noite,18:00,578
2026,1,janeiro,29,2026-01-29,Noite,19:00,250
2026,1,janeiro,29,2026-01-29,Noite,20:00,315
2026,1,janeiro,29,2026-01-29,Noite,22:00,149
2026,1,janeiro,30,2026-01-30,Madrugada,00:00,109
2026,1,janeiro,30,2026-01-30,Madrugada,01:00,149
2026,1,janeiro,30,2026-01-30,Madrugada,02:00,1129
2026,1,janeiro,30,2026-01-30,Madrugada,03:00,682
2026,1,janeiro,30,2026-01-30,Madrugada,04:00,1158
2026,1,janeiro,30,2026-01-30,Manhã,10:00,278
2026,1,janeiro,30,2026-01-30,Manhã,11:00,744
2026,1,janeiro,30,2026-01-30,Tarde,12:00,298
2026,1,janeiro,30,2026-01-30,Tarde,13:00,139
2026,1,janeiro,30,2026-01-30,Tarde,14:00,2016
2026,1,janeiro,30,2026-01-30,Tarde,15:00,109
2026,1,janeiro,30,2026-01-30,Tarde,16:00,325
2026,1,janeiro,30,2026-01-30,Tarde,17:00,290
2026,1,janeiro,30,2026-01-30,Noite,18:00,578
2026,1,janeiro,30,2026-01-30,Noite,19:00,250
2026,1,janeiro,30,2026-01-30,Noite,20:00,315
2026,1,janeiro,30,2026-01-30,Noite,22:00,149
2026,1,janeiro,31,2026-01-31,Madrugada,00:00,109
2026,1,janeiro,31,2026-01-31,Madrugada,01:00,149
2026,1,janeiro,31,2026-01-31,Madrugada,02:00,959
2026,1,janeiro,31,2026-01-31,Madrugada,03:00,421
2026,1,janeiro,31,2026-01-31,Madrugada,04:00,1229
2026,1,janeiro,31,2026-01-31,Manhã,10:00,278
2026,1,janeiro,31,2026-01-31,Manhã,11:00,573
2026,1,janeiro,31,2026-01-31,Tarde,12:00,298
2026,1,janeiro,31,2026-01-31,Tarde,13:00,171
2026,1,janeiro,31,2026-01-31,Tarde,14:00,2043
2026,1,janeiro,31,2026-01-31,Tarde,15:00,397
2026,1,janeiro,31,2026-01-31,Tarde,16:00,325
2026,1,janeiro,31,2026-01-31,Tarde,17:00,709
2026,1,janeiro,31,2026-01-31,Noite,18:00,149
2026,1,janeiro,31,2026-01-31,Noite,19:00,290
2026,1,janeiro,31,2026-01-31,Noite,20:00,315
2026,2,fevereiro,1,2026-02-01,Madrugada,01:00,258
2026,2,fevereiro,1,2026-02-01,Madrugada,02:00,743
2026,2,fevereiro,1,2026-02-01,Madrugada,03:00,578
2026,2,fevereiro,1,2026-02-01,Madrugada,04:00,764
2026,2,fevereiro,1,2026-02-01,Madrugada,05:00,149
2026,2,fevereiro,1,2026-02-01,Manhã,06:00,250
2026,2,fevereiro,1,2026-02-01,Manhã,08:00,112
2026,2,fevereiro,1,2026-02-01,Manhã,09:00,288
2026,2,fevereiro,1,2026-02-01,Manhã,10:00,250
2026,2,fevereiro,1,2026-02-01,Manhã,11:00,141
2026,2,fevereiro,1,2026-02-01,Tarde,12:00,747
2026,2,fevereiro,1,2026-02-01,Tarde,14:00,1946
2026,2,fevereiro,1,2026-02-01,Tarde,15:00,538
2026,2,fevereiro,1,2026-02-01,Tarde,16:00,176
2026,2,fevereiro,1,2026-02-01,Tarde,17:00,858
2026,2,fevereiro,1,2026-02-01,Noite,18:00,149
2026,2,fevereiro,1,2026-02-01,Noite,19:00,141
2026,2,fevereiro,1,2026-02-01,Noite,20:00,315
2026,2,fevereiro,2,2026-02-02,Madrugada,00:00,109
2026,2,fevereiro,2,2026-02-02,Madrugada,01:00,149
2026,2,fevereiro,2,2026-02-02,Madrugada,02:00,924
2026,2,fevereiro,2,2026-02-02,Madrugada,03:00,562
2026,2,fevereiro,2,2026-02-02,Madrugada,04:00,695
2026,2,fevereiro,2,2026-02-02,Madrugada,05:00,149
2026,2,fevereiro,2,2026-02-02,Manhã,06:00,285
2026,2,fevereiro,2,2026-02-02,Manhã,09:00,139
2026,2,fevereiro,2,2026-02-02,Manhã,10:00,280
2026,2,fevereiro,2,2026-02-02,Manhã,11:00,290
2026,2,fevereiro,2,2026-02-02,Tarde,12:00,320
2026,2,fevereiro,2,2026-02-02,Tarde,13:00,149
2026,2,fevereiro,2,2026-02-02,Tarde,14:00,2121
2026,2,fevereiro,2,2026-02-02,Tarde,15:00,109
2026,2,fevereiro,2,2026-02-02,Tarde,16:00,325
2026,2,fevereiro,2,2026-02-02,Tarde,17:00,290
2026,2,fevereiro,2,2026-02-02,Noite,18:00,578
2026,2,fevereiro,2,2026-02-02,Noite,19:00,285
2026,2,fevereiro,2,2026-02-02,Noite,20:00,280
2026,2,fevereiro,2,2026-02-02,Noite,22:00,149
2026,2,fevereiro,3,2026-02-03,Madrugada,00:00,109
2026,2,fevereiro,3,2026-02-03,Madrugada,01:00,149
2026,2,fevereiro,3,2026-02-03,Madrugada,02:00,1566
2026,2,fevereiro,3,2026-02-03,Madrugada,03:00,392
2026,2,fevereiro,3,2026-02-03,Madrugada,04:00,724
2026,2,fevereiro,3,2026-02-03,Manhã,06:00,285
2026,2,fevereiro,3,2026-02-03,Manhã,09:00,139
2026,2,fevereiro,3,2026-02-03,Manhã,10:00,280
2026,2,fevereiro,3,2026-02-03,Manhã,11:00,538
2026,2,fevereiro,3,2026-02-03,Tarde,12:00,469
2026,2,fevereiro,3,2026-02-03,Tarde,14:00,1910
2026,2,fevereiro,3,2026-02-03,Tarde,15:00,109
2026,2,fevereiro,3,2026-02-03,Tarde,16:00,325
2026,2,fevereiro,3,2026-02-03,Tarde,17:00,290
2026,2,fevereiro,3,2026-02-03,Noite,18:00,578
2026,2,fevereiro,3,2026-02-03,Noite,19:00,250
2026,2,fevereiro,3,2026-02-03,Noite,20:00,280
2026,2,fevereiro,3,2026-02-03,Noite,22:00,149
2026,2,fevereiro,4,2026-02-04,Madrugada,00:00,109
2026,2,fevereiro,4,2026-02-04,Madrugada,01:00,149
2026,2,fevereiro,4,2026-02-04,Madrugada,02:00,1340
2026,2,fevereiro,4,2026-02-04,Madrugada,03:00,711
2026,2,fevereiro,4,2026-02-04,Madrugada,04:00,982
2026,2,fevereiro,4,2026-02-04,Madrugada,05:00,141
2026,2,fevereiro,4,2026-02-04,Manhã,09:00,139
2026,2,fevereiro,4,2026-02-04,Manhã,10:00,421
2026,2,fevereiro,4,2026-02-04,Manhã,11:00,325
2026,2,fevereiro,4,2026-02-04,Tarde,12:00,320
2026,2,fevereiro,4,2026-02-04,Tarde,13:00,149
2026,2,fevereiro,4,2026-02-04,Tarde,14:00,1945
2026,2,fevereiro,4,2026-02-04,Tarde,15:00,109
2026,2,fevereiro,4,2026-02-04,Tarde,16:00,325
2026,2,fevereiro,4,2026-02-04,Tarde,17:00,290
2026,2,fevereiro,4,2026-02-04,Noite,18:00,578
2026,2,fevereiro,4,2026-02-04,Noite,19:00,141
2026,2,fevereiro,4,2026-02-04,Noite,20:00,419
2026,2,fevereiro,4,2026-02-04,Noite,22:00,149
2026,2,fevereiro,5,2026-02-05,Madrugada,02:00,1355
2026,2,fevereiro,5,2026-02-05,Madrugada,03:00,562
2026,2,fevereiro,5,2026-02-05,Madrugada,04:00,724
2026,2,fevereiro,5,2026-02-05,Madrugada,05:00,109
2026,2,fevereiro,5,2026-02-05,Manhã,06:00,176
2026,2,fevereiro,5,2026-02-05,Manhã,09:00,139
2026,2,fevereiro,5,2026-02-05,Manhã,10:00,421
2026,2,fevereiro,5,2026-02-05,Manhã,11:00,573
2026,2,fevereiro,5,2026-02-05,Tarde,12:00,320
2026,2,fevereiro,5,2026-02-05,Tarde,13:00,149
2026,2,fevereiro,5,2026-02-05,Tarde,14:00,2057
2026,2,fevereiro,5,2026-02-05,Tarde,15:00,109
2026,2,fevereiro,5,2026-02-05,Tarde,16:00,290
2026,2,fevereiro,5,2026-02-05,Tarde,17:00,290
2026,2,fevereiro,5,2026-02-05,Noite,18:00,578
2026,2,fevereiro,5,2026-02-05,Noite,19:00,250
2026,2,fevereiro,5,2026-02-05,Noite,20:00,280
2026,2,fevereiro,5,2026-02-05,Noite,22:00,149
